FID,NFDBFIREID,SRC_AGENCY,NAT_PARK,FIRE_ID,FIRENAME,LATITUDE,LONGITUDE,YEAR,MONTH,DAY,REP_DATE,ATTK_DATE,OUT_DATE,SIZE_HA,CAUSE,CAUSE2,FIRE_TYPE,RESPONSE,PROTZONE,PRESCRIBED,MORE_INFO,CFS_NOTE1,CFS_NOTE2,ACQ_DATE
422202,ON-1988-KEN6,ON, ,KEN6, ,50.1303,-94.9392,1988,4,23,1988-04-23 00:00:00,,1988-04-24 00:00:00,2.0,H,H,IFR, , , , , , ,2023-05-06 00:00:00
81885,BC-1982-1982-G20048,BC, ,1982-G20048, ,54.068,-122.405,1982,6,24,1982-06-24 00:00:00,,,0.1,H,H,Fire, , , , , , ,2020-05-05 00:00:00
54971,BC-1970-1970-KA1936,BC, ,1970-KA1936, ,49.539,-119.804,1970,8,31,1970-08-31 00:00:00,,,0.1,N,N,Fire, , , , , , ,2020-05-05 00:00:00
118117,BC-1997-1997-C50126,BC, ,1997-C50126, ,52.195,-123.262,1997,6,24,1997-06-24 00:00:00,,,0.1,N,N,Fire, , , , , , ,2020-05-05 00:00:00
184398,AB-1982-DF2-065-82,AB, ,DF2-065-82,DF2065,58.4365,-117.2256,1982,9,19,1982-09-19 00:00:00,,,0.0,U,U, , , , , , , ,2020-06-01 00:00:00
32766,BC-1965-1965-C00132,BC, ,1965-C00132, ,52.068,-124.135,1965,5,25,1965-05-25 00:00:00,,,0.2,H,H,Fire, , , , , , ,2020-05-05 00:00:00
57040,BC-1972-1972-CO0227,BC, ,1972-CO0227, ,51.775,-121.091,1972,7,30,1972-07-30 00:00:00,,,0.4,H,H,Fire, , , , , , ,2020-05-05 00:00:00
374037,ON-1991-RED11,ON, ,RED11, ,52.6262,-94.0637,1991,5,19,1991-05-19 00:00:00,,1991-05-21 00:00:00,0.600000023842,H,H,IFR,SUP, , , , , ,2023-05-06 00:00:00
191424,AB-2007-WWF031,AB, ,WWF031, ,54.6859,-116.681333,2007,7,14,2007-07-14 00:00:00,,2007-07-14 00:00:00,0.05,N,N,Surface, , , ,fueltype: C1, , ,2020-06-01 00:00:00
291386,QC-1985-7121,QC, ,1985-7121, ,48.52158,-79.42804,1985,6,14,1985-06-14 00:00:00,,1985-06-15 00:00:00,0.0,H,H, , ,Intensive, , , , ,2018-05-18 00:00:00
119359,BC-1998-1998-K20127,BC, ,1998-K20127, ,50.6991,-120.2256,1998,7,2,1998-07-02 00:00:00,,,0.7,N,N,Fire, , , , , , ,2020-05-05 00:00:00
241982,SK-2003-NUNN,SK, ,NUNN,NUNN,55.2055,-104.4,2003,8,13,2003-08-13 00:00:00,,2003-08-23 00:00:00,0.01,N,N,Wildfire, , , , , , ,2020-04-03 00:00:00
140048,BC-2009-2009-K50860,BC, ,2009-K50860, ,49.6566,-119.6182,2009,7,23,2009-07-23 00:00:00,,,0.009,N,N,Fire, , , , , , ,2020-05-05 00:00:00
